RUNNUMBER,PRESSURE_MEAN,D1_MAX,MEAN_A_MEAN,SUM_D1_MAX_MEAN_A_MEAN,GAIN,RUNPERIOD
71638,101.09,299.25,8.745487500000001,307.9954875,0.161,RP_2020
72703,100.28,300.15,10.5303875,310.6803875,0.146,RP_2020
71851,100.43,299.25,9.2833,308.5333,0.154,RP_2020
73078,100.47,300.04999999999995,6.669712500000001,306.71971249999996,0.15,RP_2020
72052,99.932,299.15,9.6200625,308.7700625,0.148,RP_2020
72367,100.92,299.15,8.94415,308.09414999999996,0.157,RP_2020
72010,100.03,299.15,9.9234875,309.0734875,0.149,RP_2020
72016,100.15,299.15,10.041825,309.191825,0.151,RP_2020
71643,101.08,299.25,9.0533875,308.3033875,0.162,RP_2020
72383,100.52,299.25,9.2981375,308.5481375,0.153,RP_2020
73167,100.8,299.95,9.243175,309.193175,0.155,RP_2020
73045,100.87,299.95,9.494549999999998,309.44455,0.152,RP_2020
72375,100.8,299.25,8.9022625,308.1522625,0.155,RP_2020
72080,100.66,299.15,9.0411125,308.1911125,0.155,RP_2020
72018,100.44,299.15,10.5370375,309.6870375,0.155,RP_2020
71778,100.5,299.25,9.95475,309.20475,0.153,RP_2020
73168,100.71,299.95,9.3044,309.2544,0.153,RP_2020
72710,100.1,300.15,10.184775,310.334775,0.145,RP_2020
72194,99.821,299.25,8.766275,308.016275,0.145,RP_2020
71769,101.3,299.15,8.5507375,307.7007375,0.163,RP_2020
72374,100.8,299.25,8.9715125,308.2215125,0.155,RP_2020
72092,99.569,299.25,10.085075000000002,309.335075,0.144,RP_2020
71662,99.482,299.25,8.198487499999999,307.4484875,0.142,RP_2020
71837,101.13,299.15,8.8892875,308.0392875,0.162,RP_2020
71846,100.56,299.25,10.054825,309.304825,0.155,RP_2020
72179,100.16,299.25,8.9803,308.2303,0.149,RP_2020
71789,99.734,299.35,9.821425,309.171425,0.146,RP_2020
72431,100.35,299.15,8.9760875,308.1260875,0.153,RP_2020
72103,100.04,299.25,9.5307875,308.7807875,0.149,RP_2020
71632,100.91,299.15,8.662025,307.81202499999995,0.158,RP_2020
72707,100.32,300.15,10.38335,310.53335,0.146,RP_2020
72836,100.43,300.25,9.6821375,309.9321375,0.15,RP_2020
72393,100.52,299.25,9.1708125,308.4208125,0.154,RP_2020
72657,100.61,300.15,9.631475000000002,309.781475,0.15,RP_2020
71630,100.82,299.25,9.2333,308.4833,0.158,RP_2020
71872,101.26,299.15,9.7382875,308.8882875,0.161,RP_2020
71629,100.71,299.25,8.641375,307.891375,0.157,RP_2020
71617,100.37,299.15,9.382425,308.532425,0.152,RP_2020
71670,99.385,299.25,9.9872125,309.2372125,0.143,RP_2020
73051,100.78,299.95,9.5862375,309.53623749999997,0.152,RP_2020
71835,101.17,299.15,8.7485125,307.8985125,0.162,RP_2020
71833,101.35,299.15,8.587187499999999,307.7371875,0.163,RP_2020
72089,99.93,299.25,9.3844875,308.6344875,0.149,RP_2020
71470,100.56,299.15,6.672137499999999,305.8221375,0.151,RP_2020
71648,101.04,299.15,8.790862500000001,307.9408625,0.16,RP_2020
72826,100.34,300.15,10.187075,310.33707499999997,0.148,RP_2020
72726,99.923,300.15,9.9170625,310.06706249999996,0.144,RP_2020
71474,100.19,299.25,6.902412500000001,306.1524125,0.148,RP_2020
71973,99.755,299.25,9.9404875,309.1904875,0.145,RP_2020
72257,101.5,299.15,8.684312499999999,307.83431249999995,0.165,RP_2020
73082,100.52,299.95,9.5017375,309.4517375,0.15,RP_2020
72888,99.801,300.15,9.734750000000002,309.88475,0.143,RP_2020
72247,101.0,299.25,7.906337499999999,307.1563375,0.158,RP_2020
71667,99.342,299.25,9.4060625,308.6560625,0.141,RP_2020
72827,100.45,300.25,10.0628375,310.3128375,0.15,RP_2020
72782,99.843,300.15,10.6008375,310.7508375,0.143,RP_2020
73212,100.73,300.04999999999995,9.1645375,309.21453749999995,0.154,RP_2020
71676,99.305,299.25,9.7843125,309.0343125,0.14,RP_2020
71945,100.26,299.15,9.111825,308.261825,0.152,RP_2020
71355,101.35,299.25,4.1203375,303.3703375,0.157,RP_2020
71668,99.298,299.25,9.51655,308.76655,0.141,RP_2020
73188,99.777,299.95,9.8674125,309.8174125,0.143,RP_2020
72424,100.84,299.15,9.0121375,308.1621375,0.158,RP_2020
72241,100.43,299.25,9.2698625,308.5198625,0.152,RP_2020
72148,101.5,299.25,8.7559,308.0059,0.164,RP_2020
71517,101.5,299.15,6.3176625,305.46766249999996,0.165,RP_2020
72091,99.605,299.25,9.550375,308.800375,0.145,RP_2020
71641,101.1,299.25,8.57035,307.82035,0.162,RP_2020
72398,101.13,299.25,8.566175,307.816175,0.162,RP_2020
71881,101.57,299.15,9.017525,308.16752499999996,0.166,RP_2020
72036,100.85,299.15,8.988575,308.138575,0.159,RP_2020
72048,100.02,299.15,9.5193125,308.6693125,0.149,RP_2020
71596,99.362,299.25,10.327675,309.577675,0.141,RP_2020
72238,100.26,299.25,9.373375,308.623375,0.149,RP_2020
